ID_ISSUE;ID_USUARIO_COMENTARIO;DATA_REGISTRO
666827665;8604205;03/08/2020
666827665;12045773;04/08/2020
666827665;17544636;06/08/2020
658014245;5384588;16/07/2020
658014245;8604205;16/07/2020
658014245;5384588;16/07/2020
650856910;8604205;04/07/2020
647136710;15655;30/06/2020
647136710;15655;30/06/2020
646951615;8604205;29/06/2020
638728024;15655;15/06/2020
638728024;15655;15/06/2020
638728024;64889341;15/06/2020
638728024;64889341;15/06/2020
638728024;216296;16/06/2020
638728024;64889341;16/06/2020
635064680;5384588;09/06/2020
635064680;15655;09/06/2020
626418462;15655;29/05/2020
626418462;8604205;29/05/2020
626418462;4944657;30/05/2020
625788503;8604205;27/05/2020
624643087;8604205;26/05/2020
623930973;15655;24/05/2020
623930973;8604205;24/05/2020
623930973;8604205;25/05/2020
623899273;8604205;24/05/2020
623899273;32306920;24/05/2020
623836195;8888278;24/05/2020
623836195;8604205;24/05/2020
623836195;8604205;24/05/2020
623836195;3868618;25/05/2020
623659776;49699333;30/09/2020
621606293;1758366;26/05/2020
621606293;1758366;26/05/2020
621606293;128171;26/05/2020
621606293;1758366;26/05/2020
621606293;3506071;26/05/2020
621606293;1758366;26/05/2020
621606293;15655;26/05/2020
621606293;128171;27/05/2020
621606293;15815884;08/10/2020
621606293;1758366;08/10/2020
621521476;15655;20/05/2020
621521476;15655;01/06/2020
621521476;15655;04/06/2020
613479268;3506071;06/05/2020
613479268;3506071;12/05/2020
613479268;3506071;12/05/2020
613479268;3506071;08/08/2020
613479268;3506071;08/08/2020
613479268;1758366;08/08/2020
613479268;3506071;30/09/2020
609518683;49538279;30/04/2020
609518683;49699333;19/05/2020
609393769;5384588;29/04/2020
609393769;5384588;29/04/2020
609393769;49538279;29/04/2020
609393769;5384588;29/04/2020
609393769;5384588;29/04/2020
609393769;8604205;30/04/2020
609393769;49538279;30/04/2020
609393769;49538279;30/04/2020
609393769;1758366;30/04/2020
609349784;8604205;30/04/2020
609349784;1758366;30/04/2020
605881405;51971807;23/04/2020
605881405;8604205;27/04/2020
603114136;49699333;05/06/2021
603114096;49699333;05/06/2021
603114080;15655;11/06/2020
603114080;49699333;16/07/2020
603114080;49699333;16/07/2020
603114065;49699333;23/05/2020
600998698;5384588;24/05/2020
600998698;8604205;24/05/2020
600998698;5384588;24/05/2020
600998698;8604205;24/05/2020
600998698;128171;25/05/2020
599761398;128171;16/04/2020
599761398;1781172;16/04/2020
599761398;1781172;16/04/2020
599761398;1781172;23/04/2020
599761398;128171;23/04/2020
599761398;3506071;19/05/2020
599761398;15655;01/06/2020
599761398;128171;02/06/2020
599761398;15655;11/06/2020
598540072;5384588;12/04/2020
598540072;5384588;12/04/2020
598540072;36989112;12/04/2020
598540072;5384588;12/04/2020
598540072;5384588;12/04/2020
595328098;8604205;06/04/2020
591064608;8604205;31/03/2020
591064608;17746484;31/03/2020
591064608;8604205;31/03/2020
591064608;17746484;01/04/2020
590628850;5384588;30/03/2020
590628850;5384588;30/03/2020
590628850;17654780;30/03/2020
590628850;5384588;30/03/2020
590628850;5384588;30/03/2020
590628850;8604205;31/03/2020
590628850;17654780;31/03/2020
590628850;8604205;31/03/2020
590628850;17654780;31/03/2020
590628850;8604205;01/04/2020
584630808;5384588;19/03/2020
584630808;5384588;19/03/2020
584630808;5107798;19/03/2020
584630808;5107798;19/03/2020
584630808;8604205;20/03/2020
579492511;8604205;11/03/2020
579492511;12371363;11/03/2020
579492511;12371363;11/03/2020
579492511;8604205;12/03/2020
578269316;5384588;10/03/2020
578269316;5384588;10/03/2020
578269316;1305871;10/03/2020
578269316;5384588;10/03/2020
578269316;5384588;10/03/2020
575957046;8604205;05/03/2020
574473127;8604205;03/03/2020
569821565;8604205;24/02/2020
569777444;8604205;24/02/2020
562672762;8604205;10/02/2020
562672762;1813754;11/02/2020
561349040;7110657;07/02/2020
561349040;8604205;07/02/2020
560176982;8604205;05/02/2020
558594818;8604205;01/02/2020
558594818;8604205;02/02/2020
555937638;8604205;02/02/2020
555099228;16483662;25/01/2020
555099228;8604205;27/01/2020
554752490;8604205;24/01/2020
552082135;8604205;20/01/2020
552082135;24403777;24/01/2020
552082135;8604205;24/01/2020
548408604;5384588;11/01/2020
548408604;5384588;11/01/2020
548408604;59666116;11/01/2020
546406587;8604205;08/01/2020
546398496;8604205;07/01/2020
546131456;5384588;07/01/2020
546131456;5384588;07/01/2020
546131456;58162610;07/01/2020
546131456;5384588;07/01/2020
546131456;5384588;07/01/2020
545789974;8604205;07/01/2020
545104218;5384588;03/01/2020
545104218;5384588;03/01/2020
545104218;8604205;07/01/2020
544483215;5384588;02/01/2020
544483215;5384588;02/01/2020
544483215;26611847;02/01/2020
544483215;5384588;02/01/2020
544483215;5384588;02/01/2020
544483215;8604205;20/01/2020
544301768;5384588;01/01/2020
544301768;5384588;01/01/2020
544301768;30405643;01/01/2020
544301768;5384588;01/01/2020
544301768;5384588;01/01/2020
