;USUARIO;COMENTARIOS;ISSUES;COMMITS;DESEMPENHO;QUARTIL COMENTARIO;QUARTIL ISSUE;QUARTIL COMMITS
506;54418;0.0006325110689437065;0.05808080808080809;0.013908205841446452;0.059726196323724175;4;4;4
5137;1297448;0.0031625553447185324;0.05808080808080809;0.007649513212795549;0.05866768340424568;4;4;4
422;43582;0.0007906388361796331;0.05555555555555556;0.013908205841446452;0.05727550132983334;4;4;4
451;47317;0.0056925996204933585;0.05555555555555556;0.002086230876216968;0.0558853988336358;4;4;4
1010;132584;0.010278304870335231;0.05303030303030303;0.003477051460361613;0.054128980013956725;4;4;4
4749;1148376;0.010120177103099304;0.05303030303030303;0.002086230876216968;0.05402761685798055;4;4;4
2562;469908;0.006166982922201139;0.05303030303030303;0.007649513212795549;0.05393291917040298;4;4;4
6096;1720194;0.004427577482605946;0.05303030303030303;0.0;0.05321481449606159;4;4;1
2758;521109;0.019291587602783048;0.04797979797979798;0.002086230876216968;0.05175498744746211;4;4;4
2857;547387;0.03415559772296015;0.03535353535353536;0.004172461752433936;0.04933443781864631;4;4;4
121;9501;0.008697027197975965;0.04797979797979798;0.0013908205841446453;0.048781489093321466;4;4;4
2736;515722;0.017235926628716;0.045454545454545456;0.0027816411682892906;0.048692200574824526;4;4;4
2684;502633;0.020556609740670462;0.042929292929292935;0.009040333796940194;0.04844817881612649;4;4;4
4462;1045233;0.02024035420619861;0.042929292929292935;0.003477051460361613;0.04758871732521717;4;4;4
5712;1540597;0.01834282099936749;0.042929292929292935;0.002086230876216968;0.04673045722965653;4;4;4
165;13291;0.0036369386464263124;0.042929292929292935;0.0;0.043083076887879185;4;4;1
7354;2758345;0.018500948766603416;0.03787878787878788;0.004172461752433936;0.04236150509019027;4;4;4
2143;367262;0.005850727387729285;0.04040404040404041;0.006954102920723226;0.041413488616257224;4;4;4
3976;880132;0.008064516129032258;0.04040404040404041;0.004172461752433936;0.04141174155287695;4;4;4
6943;2286589;0.002055660974067046;0.04040404040404041;0.008344923504867872;0.04130798919475176;4;4;4
9442;5748846;0.008064516129032258;0.04040404040404041;0.0006954102920723226;0.041206874388153625;4;4;4
849;108273;0.007748260594560405;0.04040404040404041;0.0013908205841446453;0.04116377539912766;4;4;4
2583;475217;0.004269449715370019;0.04040404040404041;0.0027816411682892906;0.04072409863253605;4;4;4
8585;4400185;0.0006325110689437065;0.04040404040404041;0.0013908205841446453;0.040432918929022996;4;4;4
2640;490562;0.012017710309930424;0.03787878787878788;0.0;0.039739500906020644;4;4;1
8131;3728897;0.008064516129032258;0.03787878787878788;0.0027816411682892906;0.03882752270169642;4;4;4
1002;131776;0.006166982922201139;0.03787878787878788;0.0;0.03837752271224562;4;4;1
