ID_COMMIT;ID_AUTOR;DATA_COMMIT
47bf11ee94664367a26ed8c91b9b586d3dd420f5;838736;12/04/2022
b5aa42586e5750b780324bb50e6a0bffda8cb6be;838736;11/04/2022
cf16b241e1c61c22a820ed8211bc2332ede88e62;838736;07/04/2022
757d56ea9c3de6245df7e5cac025dbf7077082ff;838736;18/03/2022
f3624374e436cec6a8e42ff9298df429c26f8c56;5667395;03/12/2021
fb04e424bb0826c07090fa4cac91b6fbe7108b18;5667395;08/12/2021
6a52c4f90cc661c0605cd98e6cb04455ba913f58;5667395;08/12/2021
ed30c4d0ea820d79601ca17e2c670e6acae16eb7;54620463;20/08/2021
4032655100dfb085e20e07d364f6292d64cfc15c;49699333;12/06/2021
47f8c65aca7a55ea2978ef575822596689cb2648;49699333;12/06/2021
56b0ee32756d9ac7ab39145e6c6df656fa649c07;3506071;08/06/2021
58cd89742029291a30678bfe440fad958c9a0275;3506071;08/06/2021
c3769a6b5b169ab1f5f1fc4de7a840fb47ecaa48;3506071;05/06/2021
c140d89583be1a1bb424689ecfeb3f7ce9b9d9b1;3506071;05/06/2021
1a5b0517d059297c775329323a5b036a69b5554e;3506071;01/06/2021
e29900c78f8fa962559b1cf95e1e7d428230e645;22633385;20/04/2021
02545a8bab39a1ce2bf5bf1278ef3243cfa909ff;49699333;30/03/2021
9bff2ce8fb170d7a33d3ad551922d7e23e9f82fc;22633385;09/03/2021
d463206d0a186df84c0e775ba6dc1f5f30bdff7b;49699333;09/03/2021
ae8e903edf88a83fedd116ae02c0628bf72b150c;49699333;06/02/2021
89c7794b21f409e9a4e20be34069f00c574b9285;49699333;06/02/2021
8a941b8ea97cabea34b6c11a4cf52e80fe1c05dc;49699333;06/02/2021
30a4424da29ea921381d1f2472e8c2ca05ece379;8604205;06/02/2021
a6fa1ce76ec0637a554acc88d1a8c3a4e2b5ebae;8604205;06/02/2021
63d613fccfecde3078ef7302a681abba412cc270;8604205;05/02/2021
ed7d506b7d4bc026d5645ef43ee60fbd59b35eee;8604205;05/02/2021
12df4d6a00e42e5b6b3e5b0e04bef6e822058c6a;8604205;05/02/2021
4267ad65a5725da567c63e26dc43c29f3efbbf8b;8604205;05/02/2021
66ada20d1bada0842d2ed924c44fde2e84a8bd2b;8604205;05/02/2021
c7d68fa0448a444aa47f87122fb0f4e99b394e3e;8604205;05/02/2021
667ff87ab55db46ede8f52bdf5f4855e5c88413c;8604205;05/02/2021
b481a165765c4bece1a5c72b052dde113a163ad1;8604205;05/02/2021
6e052a4243c315dd76081892ac5dac7670bd822a;8604205;05/02/2021
2e72ea13fa98bebf6ed4b5e3c45eaf5f990ed16f;8604205;24/10/2020
9b3b6f7f79491de33b0183c2cea2fbe8dc4de06d;15655;21/10/2020
e41f018959934bfbf982ba996cd654b1fce88d43;8604205;13/10/2020
71d19f120ab342a9e7cac64cf88b497ad5890de4;8604205;13/10/2020
8aa3389ed66bbf022c6b854f7a64a8c973849843;662832;23/09/2020
bb480064b98f8a725a546257b778b7c7569a7819;15655;05/10/2020
6b86a888cb7384b051326a5dc2e54114502f0aed;8604205;30/09/2020
f17c7d8f666c1e9b57e0abb79f359f03af285d91;49699333;30/09/2020
